clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds
25,0.5,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.492814967,0.442111609,35.98855463
25,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.515012624,0.453028369,36.11395452
12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.596036127,0.492748552,40.99850428
12.5,0.25,0.25,0.25,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.4965362,0.447536765,37.96686445
12.5,0.25,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.631417034,0.521053692,44.59947057
12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.53439409,0.467723959,35.84349356
25,0.5,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.567975637,0.471249919,38.23520379
12.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.496636394,0.438095887,38.6454264
25,0.5,0.38,0.5,0.75,86,52,71.9,62,30,50.8,1,0.1,0.630637776,0.532222816,39.38136072
12.5,0.25,0.38,0.5,0.5,86,52,71.9,62,30,50.8,16,0.26,0.566350244,0.476308423,39.15823782
12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.582604099,0.447536765,40.33593654
25,0.5,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.429000524,0.403129918,31.02327724
25,0.5,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.572046486,0.488615886,40.56322545
12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.564981991,0.432226587,42.13008169
25,0.5,0.38,0.5,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.40294843,0.408920722,41.81921269
25,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.548124898,0.445134287,39.15823782
25,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.555568429,0.471665153,38.45252155
25,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.425010896,0.417545412,32.46088718
25,0.5,0.25,0.63,0.75,86,52,71.9,62,30,50.8,24,0.39,0.466109593,0.428903862,33.12546719
25,0.5,0.25,0.75,0.63,86,52,71.9,62,30,50.8,16,0.26,0.504169517,0.432722017,35.92331365
25,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.464365879,0.438612787,34.26003436
12.5,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.530291604,0.440241496,36.54941505
25,0.5,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.51204794,0.453028369,36.40698205
25,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.490965919,0.448972519,37.83085922
12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.417072864,0.395435754,31.00460557
25,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.480386371,0.413631524,33.34012862
12.5,0.25,0.25,0.38,0.75,86,52,71.9,62,30,50.8,1,0.1,0.566319234,0.474776543,38.6454264
12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.488876344,0.42782472,35.80706195
37.5,0.75,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.402052391,0.402226397,31.10161493
12.5,0.25,0.25,0.63,0.75,86,52,71.9,62,30,50.8,1,0.1,0.542170237,0.471161461,38.6454264
12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.553032347,0.471125278,38.45252155
25,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.429580755,0.392787396,31.11988062
12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.52698696,0.438669933,36.31013579
25,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.523845567,0.41553133,33.44938499
25,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.440473059,0.403129918,31.87518207
25,0.5,0.25,0.63,0.75,86,52,71.9,62,30,50.8,24,0.39,0.490320807,0.446570029,35.8744954
25,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.390965919,0.379871916,31.39456852
12.5,0.25,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.533196209,0.440241496,37.13089874
25,0.5,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.403310637,0.401303569,29.55949395
25,0.5,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.454381334,0.41985155,33.3406292
25,0.25,0.25,0.38,0.25,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.432419853,0.407609786,32.88039453
25,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.426173511,0.422918386,33.29902167
12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.511480554,0.43226586,36.2542016
12.5,0.25,0.38,0.5,0.75,86,52,71.9,62,30,50.8,1,0.1,0.605677437,0.500647106,41.21921269
12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.621749749,0.511298321,43.28624094
25,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.564904359,0.468039601,37.60167915
12.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,24,0.39,0.49368953,0.429230513,33.44938499
25,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.363981224,0.395893563,29.0422816
25,0.5,0.25,0.25,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.485313581,0.420093742,34.09291611
12.5,0.25,0.25,0.25,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.463187081,0.433737787,34.33849206
25,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.48180056,0.446912521,35.46687387
25,0.5,0.25,0.38,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.402052391,0.402182926,31.1279858
25,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.514086408,0.452630705,36.3863589
25,0.5,0.25,0.5,0.75,86,52,71.9,62,30,50.8,24,0.39,0.520756415,0.448463132,38.70642697
12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.585377664,0.486003684,40.4613306
12.5,0.25,0.25,0.38,0.63,86,52,71.9,62,30,50.8,16,0.26,0.551264467,0.478135139,39.18675925
25,0.5,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.488876344,0.417947008,34.66057255
25,0.5,0.38,0.63,0.5,86,52,71.9,62,30,50.8,1,0.1,0.559324725,0.477778535,38.13019216
12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.574796304,0.482807121,39.83085922
25,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.58337988,0.480106144,35.82485206
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.598281018,0.498478897,41.44744954
12.5,0.25,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.582482579,0.488568502,40.22738685
25,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.449877074,0.426678021,33.749712
25,0.5,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.407072571,0.409976942,31.13021301
25,0.5,0.25,0.75,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.52332906,0.466492143,37.20955415
12.5,0.25,0.38,0.25,0.25,86,52,71.9,62,30,50.8,1,0.1,0.611397858,0.527895672,46.58510536
25,0.5,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.429000524,0.392302807,31.11988062
12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.459087683,0.406869398,32.6584962
12.5,0.25,0.38,0.38,0.63,86,52,71.9,62,30,50.8,24,0.39,0.551234401,0.478135139,39.4849869
25,0.5,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.517169415,0.456752669,36.01862394
25,0.5,0.38,0.5,0.5,86,52,71.9,62,30,50.8,1,0.1,0.561296524,0.471871207,38.6454264
25,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.463097152,0.437265704,34.13758465
12.5,0.25,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.631790257,0.453001484,42.73173641
25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,34,0.56,0.386518419,0.399983862,30.35778147
25,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.510102557,0.433195442,35.27931173
25,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,34,0.56,0.315500071,0.367762987,27.40175511
25,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.378917495,0.373856466,29.64786104
25,0.5,0.25,0.75,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.509001253,0.458966196,36.3623002
12.5,0.25,0.25,0.63,0.75,86,52,71.9,62,30,50.8,34,0.56,0.574989422,0.48518887,40.17143065
25,0.5,0.38,0.38,0.75,86,52,71.9,62,30,50.8,16,0.26,0.535877448,0.45386752,36.68541263
12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.500058984,0.433081146,35.48700839
12.5,0.25,0.25,0.63,0.5,86,52,71.9,62,30,50.8,34,0.56,0.533820778,0.462462315,37.52543015
25,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.539747718,0.467852649,38.143078
25,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,34,0.56,0.361519212,0.392668897,30.7671091
25,0.5,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.507541905,0.453028369,36.36293728
12.5,0.25,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.492693356,0.442535249,35.62231346
12.5,0.25,0.25,0.38,0.38,94.6,57.2,79,68.2,33,55.9,34,0.56,0.499992838,0.41015323,31.02764698
12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.582482579,0.485099788,41.22334958
12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.603493403,0.50404651,42.78112742
25,0.5,0.25,0.75,0.5,86,52,71.9,62,30,50.8,16,0.26,0.547283352,0.466474508,37.35683231
25,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.442626748,0.42018755,32.78937613
25,0.25,0.25,0.38,0.38,86,52,71.9,62,30,50.8,24,0.39,0.349908358,0.388819023,28.41793063
25,0.25,0.25,0.75,0.75,86,52,71.9,62,30,50.8,34,0.56,0.354086468,0.388819023,28.21340501
25,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.392583006,0.397617195,30.27510191
12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.527742687,0.438514042,36.31114278
25,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.566319234,0.470373306,39.67027165
25,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.57967639,0.498585597,41.93380223
25,0.5,0.25,0.75,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.450822025,0.410575532,32.71791783
25,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.578114733,0.485218942,40.33593654
25,0.5,0.25,0.75,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.383882188,0.393418576,29.80324762
12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.529511192,0.436996925,36.95787336
12.5,0.25,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.500557995,0.424609234,35.24885567
25,0.5,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.442869304,0.424874062,33.28480863
25,0.5,0.38,0.5,0.75,86,52,71.9,62,30,50.8,24,0.39,0.410652063,0.408851197,31.6656798
12.5,0.25,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.61854944,0.50251773,44.56159301
25,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.389452628,0.381851426,29.80390835
12.5,0.25,0.38,0.5,0.5,86,52,71.9,62,30,50.8,1,0.1,0.619006054,0.527735445,44.2785829
25,0.25,0.25,0.25,0.38,94.6,57.2,79,68.2,33,55.9,24,0.39,0.402052391,0.401275192,30.27510191
12.5,0.25,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.608930974,0.502062222,42.16770498
25,0.5,0.25,0.75,0.75,86,52,71.9,62,30,50.8,16,0.26,0.469631675,0.434132503,34.2751629
25,0.25,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.354086468,0.388167887,29.94364365
25,0.5,0.25,0.75,0.75,86,52,71.9,62,30,50.8,1,0.1,0.578114733,0.482874674,36.39193423
12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.595948108,0.495898084,41.05919357
12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.567975637,0.463821541,39.09961353
25,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.320417393,0.376977261,27.40175511
25,0.5,0.38,0.5,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.622622866,0.519045161,45.20294287
12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.605758307,0.451986086,37.29886067
25,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.487214901,0.449871489,38.6454264
12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.596753394,0.491124144,41.35738644
25,0.5,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.567975637,0.483047479,39.65350945
12.5,0.25,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.433014308,0.438875462,32.9240208
25,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,24,0.39,0.383581787,0.391211231,30.12462708
12.5,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,24,0.39,0.578889093,0.482859526,39.83192591
25,0.5,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.444908279,0.425245072,33.58954163
25,0.5,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.496618271,0.448463132,35.47352652
25,0.5,0.25,0.75,0.63,86,52,71.9,62,30,50.8,16,0.26,0.521119725,0.454522205,36.67877702
12.5,0.25,0.25,0.25,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.610691292,0.503991707,42.40950749
25,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.584016198,0.482118713,39.81661146
12.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.508296527,0.449306369,36.04067528
37.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.443419908,0.398255665,31.88184658
12.5,0.25,0.25,0.38,0.25,94.6,57.2,79,68.2,33,55.9,34,0.56,0.41016336,0.410575532,31.79765098
25,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.449877074,0.42782472,34.89511705
25,0.5,0.25,0.38,0.63,86,52,71.9,62,30,50.8,24,0.39,0.454381334,0.42782472,33.55926075
25,0.5,0.25,0.75,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.510102557,0.453649741,37.67361372
12.5,0.25,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.601161249,0.498475898,41.73066669
25,0.5,0.25,0.5,0.5,86,52,71.9,62,30,50.8,34,0.56,0.376009787,0.390310494,29.63179631
12.5,0.25,0.38,0.38,0.38,94.6,57.2,79,68.2,33,55.9,34,0.56,0.390063353,0.409269062,30.39027791
12.5,0.25,0.25,0.25,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.586303901,0.490981116,40.92210139
25,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.420206355,0.430905502,32.69048728
25,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.426064568,0.414830175,32.41787171
25,0.5,0.25,0.5,0.75,86,52,71.9,62,30,50.8,24,0.39,0.49739138,0.448972519,35.37945168
12.5,0.25,0.25,0.38,0.25,86,52,71.9,62,30,50.8,34,0.56,0.334220017,0.377888031,27.19065136
25,0.5,0.38,0.38,0.63,86,52,71.9,62,30,50.8,1,0.1,0.557250655,0.476382696,39.09961353
25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,24,0.39,0.498793068,0.448400516,35.37114225
37.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.283055065,0.358821427,25.0423614
12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.645475445,0.511116064,45.06919216
12.5,0.25,0.38,0.63,0.5,86,52,71.9,62,30,50.8,1,0.1,0.638323095,0.527895672,45.47838117
12.5,0.25,0.25,0.38,0.38,86,52,71.9,62,30,50.8,1,0.1,0.581744319,0.482859526,41.07457289
12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.50476135,0.430368732,35.27931173
12.5,0.25,0.25,0.5,0.63,86,52,71.9,62,30,50.8,16,0.26,0.509158377,0.455453173,36.82816896
25,0.5,0.38,0.5,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.611397858,0.508336663,43.68715255
25,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.476911433,0.440298814,34.80706195
12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.509450822,0.430358895,36.39193423
12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.603545036,0.500653697,42.13008169
25,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.476202171,0.413380913,35.61618557
25,0.5,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.429000524,0.408038131,31.92881551
25,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.320564713,0.377566465,27.10639138
25,0.5,0.25,0.5,0.63,86,52,71.9,62,30,50.8,24,0.39,0.494584864,0.44252903,35.28592597
25,0.5,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.390063566,0.402855862,30.79374092
12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.509001253,0.450498441,36.83081961
25,0.5,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.473458531,0.416537797,33.23244939
25,0.5,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.578556842,0.486003684,40.17821466
25,0.5,0.38,0.5,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.376009787,0.390310494,29.64786104
12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.505560504,0.45807618,36.5026819
12.5,0.25,0.25,0.75,0.75,86,52,71.9,62,30,50.8,16,0.26,0.527591617,0.476308523,39.15823782
12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.566319234,0.431267232,45.56149325
12.5,0.25,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.520637077,0.418219535,35.11807556
12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.553671368,0.471125278,38.45252155
12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.509001253,0.453001484,36.81673726
37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,24,0.39,0.385021951,0.399172403,30.27510191
12.5,0.25,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.484089347,0.445308404,35.72248781
25,0.5,0.38,0.38,0.63,86,52,71.9,62,30,50.8,1,0.1,0.566350244,0.471828735,38.70569591
12.5,0.25,0.25,0.38,0.5,86,52,71.9,62,30,50.8,34,0.56,0.450102564,0.416537797,32.79766623
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.551499227,0.467852649,38.38162699
12.5,0.25,0.38,0.38,0.75,86,52,71.9,62,30,50.8,1,0.1,0.566350244,0.476002331,39.77772061
12.5,0.25,0.38,0.5,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.592156153,0.481279313,40.99850428
12.5,0.25,0.38,0.5,0.63,86,52,71.9,62,30,50.8,1,0.1,0.621749749,0.513171554,43.17615175
25,0.5,0.38,0.63,0.5,86,52,71.9,62,30,50.8,16,0.26,0.627442488,0.514873193,39.98873363
25,0.5,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.542170237,0.476308423,38.70569591
12.5,0.25,0.38,0.63,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.55235942,0.470176914,38.77478764
25,0.5,0.25,0.5,0.63,86,52,71.9,62,30,50.8,16,0.26,0.556301788,0.471249919,39.64669117
25,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.543968929,0.463210214,37.33661143
12.5,0.25,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.645475445,0.511834352,43.28816181
12.5,0.25,0.25,0.25,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.583697575,0.484771683,40.2744187
